kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_RAYGEN_0.ptx 89 : 25 225 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_RAYGEN_0.ptx 101 : 25 150 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_RAYGEN_0.ptx 45 : 25 125 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_ANY_HIT_2.ptx 45 : 6 30 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_RAYGEN_0.ptx 104 : 25 150 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_RAYGEN_0.ptx 231 : 6 30 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_RAYGEN_0.ptx 202 : 5 30 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_ANY_HIT_2.ptx 75 : 6 54 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_RAYGEN_0.ptx 203 : 5 30 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_RAYGEN_0.ptx 211 : 5 30 0 0 0 0 0 0 0 
/home/zjw/vulkan-sim-root/vulkan-sim/../mesa-vulkan-sim/gpgpusimShaders/MESA_SHADER_RAYGEN_0.ptx 212 : 5 30 0 0 0 0 0 0 0 
